Taxon	Data	Category
lividulum_DNA3804_LIB0317	32	ctotal_satDNAs
lividulum_DNA4165_LIB0245	43	ctotal_satDNAs
lividulum_DNA4699_LIB0246	31	ctotal_satDNAs
lividulum_DNA5013_LIB0244	30	ctotal_satDNAs
lividulum_DNA5019_LIB0342	32	ctotal_satDNAs
lividulum_DNA5032_LIB0243	32	ctotal_satDNAs
saturatum_DNA3313_LIB0254	46	ctotal_satDNAs
saturatum_DNA3467_LIB0204	46	ctotal_satDNAs
saturatum_DNA4167_LIB0320	50	ctotal_satDNAs
saturatum_DNA5129_LIB0343	42	ctotal_satDNAs
saturatumB_DNA3588_LIB0340	47	ctotal_satDNAs
saturatumB_DNA4247_LIB0255	43	ctotal_satDNAs
testatum_DNA3088_LIB0339	46	ctotal_satDNAs
testatum_DNA4157_LIB0319	35	ctotal_satDNAs
testatum_DNA4169_LIB0202	43	ctotal_satDNAs
testatum_DNA4173_LIB0326	39	ctotal_satDNAs
vulcanix_DNA4618_LIB0256	29	ctotal_satDNAs
vulcanix_DNA4649_LIB0341	44	ctotal_satDNAs
