Taxon	Percentage	Category				
testatum_DNA3088_LIB0339	0.268705	genprop_rep				
testatum_DNA3088_LIB0339	0.56	genprop_nonrep				
testatum_DNA4157_LIB0319	0.1921082	genprop_sat				
testatum_DNA4157_LIB0319	0.2978918	genprop_rep				
testatum_DNA4157_LIB0319	0.51	genprop_nonrep				
testatum_DNA4169_LIB0202	0.1887542	genprop_sat				
testatum_DNA4169_LIB0202	0.3112458	genprop_rep				
testatum_DNA4169_LIB0202	0.5	genprop_nonrep				
testatum_DNA4173_LIB0326	0.2031114	genprop_sat				
testatum_DNA4173_LIB0326	0.3668886	genprop_rep				
testatum_DNA4173_LIB0326	0.43	genprop_nonrep				
vulcanix_DNA4618_LIB0256	0.0765216	genprop_sat				
vulcanix_DNA4618_LIB0256	0.4334784	genprop_rep				
vulcanix_DNA4618_LIB0256	0.49	genprop_nonrep				
vulcanix_DNA4649_LIB0341	0.0738738	genprop_sat				
vulcanix_DNA4649_LIB0341	0.3761262	genprop_rep				
vulcanix_DNA4649_LIB0341	0.55	genprop_nonrep				
